name,surnames
AUDREY,Cridland
BRIDGET,Crofford
BERYL,Crosby
ENID,Crossley
JOSEPHINE,Crowley
PATRICIA,Crowther
PEGGY,Cruikshank
SHEILA,Crutchfield
BRENDA,Cruwys
PAMELA,Cumberbatch
HAZEL,Cunningham
DAPHNE,Curling
PAULINE,Currie
RITA,Curry
JUNE,Dagobert
STELLA,Dalberg-Acton
MAVIS,Dalglish
THELMA,Dalziel
MONICA,Darrow
ALMA,Davidson
CHRISTINE,Dawson
MAUREEN,De la Hay
ROSEMARY,De Lundin
SYBIL,Dearnaley
SHIRLEY,Delahaye
VALERIE,Deveraux
MARINA,Devereaux
NORMA,Devereux
CYNTHIA,Dewdney
GILLIAN,Dickin
YVONNE,Dinn
MARLENE,Dior
DIANA,Dobbie
TERESA,Docherty
VERONICA,Dockter
ANGELA,Doig
JENNIFER,Dollar
MARIAN,Donaldson
JILL,Donelson
WENDY,Douglas
JOY,Douglas-Home
JACQUELINE,Douglas-Yakimchuk
GLORIA,Dowell
MOLLY,Dowie
HEATHER,Downer
JUDITH,Drake
SUSAN,Drinkwater
CAROL,Dubosc
SANDRA,Duclos
LINDA,Duguid
CAROLE,Duhamel
DIANE,Duke
JANICE,Duncan
ELAINE,Eady
MARILYN,Earnshaw
LESLEY,Easmon
HILARY,Eastwood
JULIA,Edgerton
PENELOPE,Edmed
LYNDA,Edwardes
JEANETTE,Edwards
CAROLYN,Elder
ANITA,Ellery
DENISE,Ellis
KAY,Elloway
GEORGINA,Ellsworth
SALLY,Elphicke
GLENYS,Elphinstone
JULIE,Emptage
VIVIENNE,Errington
GERALDINE,Erskine
LYNN,Esplin
KAREN,Evans
LYNNE,Every
LORRAINE,Ewing
ALISON,Exton
DEBORAH,Faal
KATHRYN,Fairbairn
SHARON,Fairchild
ANNETTE,Fairfax
BEVERLEY,Fanshawe
GAIL,Faragher
SUZANNE,Farquhar
AMANDA,Farwell
DAWN,Fearghas
THERESA,Fearghus
ANNA,Feiritéar
FIONA,Fendley
CHERYL,Fergus
GLYNIS,Ferguson
STEPHANIE,Fettes
NICOLA,Fiddes
ANDREA,Filby
TRACEY,Findley
TRACY,Finn
JOANNE,Finnie
MICHELLE,Firby
DEBRA,Fishwick
PAULA,FitzAlan
DONNA,Fitzroy
LOUISE,Flann
MANDY,Fluellen
TINA,Forbes
